epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.199,0.6418,1.48515,1.05083,0.78587,0.81147,0.86166,0.73111,0.47573,0.99919,0.97542,0.000475351,0.000475351,0.000475351
2,229.604,0.50434,0.90388,0.96463,0.79913,0.73153,0.83879,0.62987,0.53552,0.88135,1.02094,0.000904576,0.000904576,0.000904576
3,339.755,0.46746,0.80933,0.94663,0.71358,0.65724,0.74745,0.48045,0.7734,1.2394,1.18487,0.00128664,0.00128664,0.00128664
4,449.423,0.43396,0.7517,0.93507,0.86734,0.86819,0.91785,0.8204,0.36606,0.68109,0.91165,0.00121679,0.00121679,0.00121679
5,558.898,0.40072,0.70385,0.92617,0.90157,0.88525,0.94874,0.87273,0.35112,0.61465,0.91888,0.00114606,0.00114606,0.00114606
6,668.875,0.37929,0.67583,0.91734,0.91751,0.88545,0.95242,0.89277,0.31368,0.55525,0.88387,0.00107532,0.00107532,0.00107532
7,779.208,0.35818,0.65098,0.9119,0.90192,0.86201,0.93198,0.85292,0.31002,0.56778,0.88778,0.00100459,0.00100459,0.00100459
8,889.338,0.3446,0.63307,0.90647,0.90318,0.88907,0.94655,0.89049,0.27727,0.5232,0.87396,0.000933851,0.000933851,0.000933851
9,999.935,0.33211,0.61308,0.9007,0.88983,0.80987,0.90837,0.77973,0.35313,0.65225,0.93031,0.000863116,0.000863116,0.000863116
10,1109.77,0.31733,0.59085,0.89428,0.90967,0.91657,0.9602,0.91663,0.2525,0.47533,0.86372,0.00079238,0.00079238,0.00079238
11,1220.31,0.28995,0.55911,0.85702,0.91786,0.90606,0.95965,0.90243,0.26153,0.51667,0.87359,0.000721645,0.000721645,0.000721645
12,1329.71,0.27558,0.53738,0.85352,0.87988,0.87792,0.93255,0.85635,0.30995,0.55532,0.88835,0.000650909,0.000650909,0.000650909
13,1439.22,0.26244,0.5104,0.8483,0.94005,0.92968,0.97208,0.93082,0.2315,0.42247,0.85259,0.000580174,0.000580174,0.000580174
14,1548.1,0.25716,0.49647,0.84798,0.93572,0.92297,0.96935,0.93159,0.22955,0.43575,0.85687,0.000509438,0.000509438,0.000509438
15,1657.43,0.23927,0.4743,0.83752,0.93184,0.92701,0.97103,0.93583,0.22142,0.41524,0.85598,0.000438703,0.000438703,0.000438703
16,1766.14,0.23262,0.46289,0.83509,0.92324,0.93697,0.96663,0.93101,0.2269,0.4045,0.85314,0.000367967,0.000367967,0.000367967
17,1874.97,0.22054,0.44114,0.83215,0.9341,0.93912,0.97254,0.94117,0.20249,0.38482,0.84835,0.000297232,0.000297232,0.000297232
18,1983.86,0.21126,0.42577,0.82596,0.93922,0.9398,0.96998,0.94042,0.19234,0.38701,0.84334,0.000226497,0.000226497,0.000226497
19,2092.93,0.20317,0.41426,0.82452,0.93207,0.94341,0.97397,0.9489,0.18221,0.36312,0.83946,0.000155761,0.000155761,0.000155761
20,2201.81,inf,0.40044,0.82327,0.94137,0.93984,0.97406,0.94777,0.18507,0.36129,0.84305,8.50255e-05,8.50255e-05,8.50255e-05
